主题,赞成数,反对数,留言数,持续时长
咨询A市行政区划的问题,0,0,3,1
咨询A3区民宿特许经营的问题,1,0,2,10.0
A7县海德公元15栋悄悄进行销售,1,0,2,10.0
A8县金州大道金牛广场足之韵挂牌洗脚实际严重涉黄,0,0,2,10.0
A市中小学校机械执行制度，这么冷的天学校规定一定要穿校服,0,0,2,10.0
A4区九尾冲没有斑马线，行人直接在车流中插空过马路,2,0,2,9.0
实名投诉A7县自然资源局批后监管科科长接访态度恶劣,7,2,2,7.0
对A7县“雅韵星沙周末有戏”演出活动的补充建议,11,0,2,6.0
请问A市为什么要把和包支付作为任务而不让市场正当竞争？,78,0,2,1
关于A6区民爆器材有限责任公司财务审计的情况反映,0,0,2,5.0
A6区高塘岭街道望福佳园附近农家乐破坏白鹭的生存环境,1,5,2,4.0
西地省有色地质勘查局二一七队D市西外环路91号经常往楼下扔生活垃圾,0,2,2,4.0
反映西地省卫健委职称评审认可期刊问题,11,0,2,2.0
强烈要求将A市原市属下区中学收回市教育局的申诉,10,0,2,2.0
试管做出基因缺陷女婴，不幸家庭雪上加霜,0,0,2,2.0
A3区A3区街道桃花锦绣小区有一个液化气站存隐患,0,0,2,2.0
A4区通太街寿星街105号邻边违章建筑拆除后围挡不严，有安全隐患,0,0,2,2.0
A3区学士街道超规划建筑依然在建，留言的回复并不真实,18,0,2,1
A7县洋湖中学能否引进名校资源？,12,5,2,1
A7县碧桂园威尼斯城大范围的违建,9,0,2,1
对A市禁摩限令处罚不解,9,0,2,1
建议A7县杨慧开纪念馆尽快建设官方网站和微信公众号,9,0,2,1
请求将原A市属下区中学收回市教育局的申诉,8,0,2,1
对A7县“雅韵星沙周末有戏”演出活动的建议,8,0,2,1
A4区捞刀河镇星沙联络线罗涵庄段辅道口什么时候修建好,8,0,2,1
强烈呼吁西地省卫健委客观、公正、合法地处理“假冒期刊问题”,7,0,2,1
A市地绿海外滩二期竟是豆腐渣工程，欺诈业主,7,0,2,1
在A市参公管理事业单位工作的公务员在改革中受到不公平待遇,6,1,2,1
只有A市12345没有西地省12345感觉不是很方便,6,0,2,1
A市桂花坪失地农民的益利不容侵犯,6,0,2,1
A市百得胜全屋定制个体老板恶意拖欠工资，转移财产,6,6,2,1
A5区泰禹云开一品小区产权缩水30年,5,0,2,1
举报A市振业城三期A组团房屋开裂、电表外置在过道、绿化不达标等问题,5,0,2,1
A7县松雅湖滨湖路和灰埠路上飙车党扰民严重,5,0,2,1
A7县松雅湖滨湖路和灰埠路上飙车党扰民严重,4,0,2,1
A7县星沙农村商业银行泉星力都大厦营业网点何时对外营业？,4,0,2,1
A市时代年华在签合同时置业不出示造价明细，暗自拉高房价,4,0,2,1
A7县星沙时代星城内摆摊设点情况严重,4,0,2,1
A7县泉塘第三小学对面两文具店摆了多台游戏机，难道没人管吗？,3,0,2,1
关于对A市物业服务等级的确定依据不理解,3,0,2,1
建议政府取谛A市内所有经营性麻将馆,3,0,2,1
A2区肉联厂18栋这边的平房什么时候拆迁？,3,0,2,1
A市公安局出境办证中心支付方式不合理,3,0,2,1
A2区余易贷受害人期盼返回血汗钱,3,0,2,1
A市曙光中路家润多停车场附近路段路幅窄，车流大,3,0,2,1
A7县路口镇麻林温泉迟迟得不到有力开发，一直在白白流淌,2,0,2,1
反映A市南雅中学初中秋游问题,2,0,2,1
A3区中业文朩考研A市分校骗取近百名学生超百万学费，学生无处维权！,2,0,2,1.0
A7县黄兴镇卫生院剥夺职工春节法定节假日三天,2,0,2,1
A7县包工头拖欠K8县8位民工血汗钱近两年，请领导为我们讨薪,2,0,2,1
A市橘洲焰火何不移步巴溪洲？,2,1,2,1
A7县未来漫城物业不作为，还能评为五星级,2,15,2,1
西地省高速公路新能源汽车充电桩太少,2,0,2,1
希望A7县公开农口线对慧润公司的扶持资金,2,1,2,1
A7县星工场住友橡胶排放大量恶心刺鼻气味,2,0,2,1
A8县市灰汤镇新风村水口湾至J5县村高桥道路安全隐患何时除？,2,0,2,1
在星沙为什么收看不到A7县电视台节目？,2,0,2,1
A市A4区沙坪街道汉回村支书纵容华颖实业集团侵占农民山林,2,0,2,1
A7县社塘路白改黑及铁建一期社塘路人行道星沙供水公司井盖高出人行道,2,0,2,1
A3区黑心考研机构骗取学生百万巨款，学生维权难于登天,2,0,2,1
问问A7县委党校新校区建设情况,2,0,2,1
A7县自然资源局处理李建接访态度恶劣问题不公,2,1,2,1
A市A5区利聚网平台不让提现,2,0,2,1
A7县星沙望仙路两侧梧桐树春季飞絮扰民,2,0,2,1
希望A7县809路公交在方略潇邦站西移30米，更利于乘客乘车,2,0,2,1
控诉西地省商商楚品交易中心、西地省夏华银都大宗商品交易中心诈骗我的血汗钱！,2,0,2,1
A2区A1区南路尚双塘中信广场附近渣土车长期闯红灯超速无人管,2,0,2,1
J4县供销合作社在岗失业职工追缴社保,2,0,2,1
恳请教育局将A2区万婴山水园纳入普惠幼儿园范畴,1,0,2,1
A3区钰龙佳园一期4栋2单元小高层楼下违规建垃圾桶放置场所,1,2,2,1
外地车辆转入A市机动车档案到底该寄到哪个车管所？,1,0,2,1
A市安置房都美物业高价收取水费，房屋和电梯质量常出事故,1,0,2,1
A7县宁华路靠望仙路岔路口200米路灯不亮,1,0,2,1
A3区峰景项目不按正常工期施工，严重压缩工期偷工减料,1,0,2,1
A市云开壹品禹泰越玺楼盘没有诚信，预售证欺骗消费者,1,0,2,1
市民在A7县金靖邮局取钱发现数额不对，要求银行提供监控遭拒,1,0,2,1
A7县东九路旁的龙塘水体公园的具体开放时间是？,1,0,2,1
A5区美洲故事小区别墅群私搭乱建现象严重,1,0,2,1
A市农民安置项目朝正美苑什么时候能分房入住？,1,0,2,1
A市融圣国际长城物业动用水枪、灭火器在小区内斗殴,1,0,2,1
A市鹏基诺亚山林小区正大门口建爱尔眼科医院，合法吗？,1,0,2,1
A市东山湾路什么时候修？,1,0,2,1
A市明日传媒中介收了钱不办事，感觉我被套路了,1,0,2,1
A市鹏基诺亚山林即将成为爱尔眼科医院后花园,1,0,2,1.0
A市小学的不正之风该停了,1,0,2,1
请求A市政府放宽对党务工作者、社区工作人员等考试年龄的限制,1,0,2,1
A市中一九骏开发商违规变更住宅为商业养老院,1,1,2,1
A市A5区利聚网平台不让提现,1,0,2,1
A市A4区胜利村鑫利家园违规分房,1,0,2,1
反映A1区火炬路电缆铺设影响交通的问题,1,0,2,1
A1区社保局咨询电话形同虚设,1,0,2,1
A市快速公交万家丽线何时能开通运行？,1,0,2,1
A7县欢乐颂女人馆旁电动车被盗，求帮助解决,1,0,2,1
A市交通运输局对“公交车乱挤乱插现象”回复失实,1,0,2,1
A7县公安局交警大队车辆管理所服务窗口设计不合理,1,0,2,1
再次投诉A市北大资源理想家园违规租售车位,1,0,2,1
雅礼中学1813班涉嫌乱收班费,1,0,2,1
A市计生委怎么不办理独生子女证？,1,1,2,1
A7县春华镇的317乡道损坏严重,1,0,2,1
A3区实验小学东西校区明明属同一个学校，为什么这么多不同？,1,0,2,1
在A市江滨家园华庭苑买房八年才交房，还没有房产证！,1,0,2,1
A市华坤时代写字楼的金融投资骗局太多了，请严查！,1,0,2,1
咨询A6区道路命名规划初步成果公示和城乡门牌问题,1,0,2,1
市民在A7县金靖邮局取钱发现数额不对，要求银行提供监控却遭拒绝,1,0,2,1.0
请求保障A4区恒大林郡溪业主子女就读青一学校的权益,1,0,2,1
天气寒冷，建议对A市全市流浪人员发放过冬棉被，建立取暖场所,1,0,2,1
A7县星沙螺丝塘路9号华中集团每天都排出大量白色气体，气味难闻,1,0,2,1
A市麦芒国际业主担心教育问题,1,0,2,1
A6区高塘岭街道楚江村楚江组组民无心过年,1,0,2,1
A市恒大翡翠华庭办不动产证为什么要这么久,1,0,2,1
A市高新线路的取消给在麓谷坐地铁上班的人带来了极大不便,1,0,2,1
西地省习家管社区服务有限公司巧立合同明目，骗取百姓钱财,1,0,2,1
A7县星沙二手市场云车金融公司是否存在违规操作？,1,0,2,1
长浏高速洞阳服务区违规停车,1,0,2,1
A市蓝的出租车营运到期，迟迟不发新车,1,1,2,1
A3区莱茵城乐享健身突然关门，员工工资未发,0,0,2,1
A9市镇头镇金牌村马达队强盛建材厂严重污染环境,0,0,2,1
建议西地省博物馆做好游客私家车导停服务,0,0,2,1
请问A市麓山公证人员跨管辖公证合法吗？,0,0,2,1
A市小微制造企业用地困难问题如何解决,0,0,2,1
控告A3区城市建设开发公司报警栽赃陷害潘平安敲诈勒索,0,0,2,1
廉洁过教师节，亟待教育主管部门的重视,0,0,2,1
A2区建中A1区嘉苑偶寓22栋违规搭建玻璃阳光房,0,0,2,1
A8县畜牧系统退休工人何时才能领取退休金？,0,0,2,1
A市城投集团选人用人随意导致巨额国资损失,0,0,2,1
A市前奥林匹克花园物业经理伙同他人涉黑涉爆非法收费,0,0,2,1
A3区阳光100的违搭要怎样才能拆掉？,0,0,2,1
A2区文源社区南苑花园小区附近违章建筑扰民，却能十年屹立不倒,0,0,2,1
A市千江锦园小区业主等了10年了，还没收房,0,0,2,1
A市麓山枫情小区四栋的房子岌岌可危,0,0,2,1
A1区先锋东外滩小区居民楼办少儿培训班，太扰民,0,0,2,1
A市高运小区里有人办丧，扰民,0,0,2,1
A6区乐儿湾婴童健康理疗水育中心暂停营业还不退费,0,0,2,1
关于A市农村户口学龄儿童就近入学问题的咨询,0,0,2,1
A3区共和世家底商新日图文半夜开工严重扰民,0,0,2,1
A7县泉星公园建设进度缓慢，周边几万居民无处休闲散步,0,0,2,1
银行贷款下不来，A市高岭国际商贸城不退首付款,0,0,2,1
A6区时代倾城万婴幼儿园多收取学费，退费困难的投诉,0,0,2,1
A5区星城新宇桃花苑小区道路两边都停满了车辆，行人都不方便走,0,0,2,1
请求A6区规划局为山与墅近千业主规划东门出行通道,0,0,2,1
A市定王台街道提质提档改造施工态度太过野蛮,0,0,2,1
举报原A8县教育系统公办人员在民办单位上班，领两份工资,0,1,2,1
A8县市资福中学老师偷鱼杀狗,0,0,2,1
建议晚上复查A市A1区沁园小区12栋悦康沐足卖淫，避免违法活动反复,0,0,2,1
A市航中城社区自5月5日起连续数天早晚停水,0,0,2,1
希望A市315路车能恢复之前的运营路线,0,0,2,1
A5区迎新路（中意路至万芙路路段）为什么不采取单向通行或中间隔离优化措施？,0,0,2,1
A2区新韶西路与新联路交叉路口交通好乱了,0,0,2,1
A市榔梨工业区蓝思科技公租房的门面到底什么时候交付？,0,0,2,1
在居然之家A市金桥店购买的万乐家抽油烟机无故炸裂,0,0,2,1
西地省有色地质勘查局二一七队西外环家属区内宿舍楼经常往楼下扔垃圾,0,2,2,1
为何年满90岁的老人每月补贴60元必须到社区申报？,0,0,2,1
朱某涉嫌欺诈A市爱甚面膜运营中心,0,0,2,1
A市蓝色港湾小区新水表数据不对,0,0,2,1
A3区桃子湖路麓山南路T字路口交通指示不明确,0,0,2,1
A市贺隆体育馆是否有启用的计划安排？,0,0,2,1
A8县沙田乡五里村多家快递代收点乱收费,0,0,2,1
西地省骧龙集团公司拖欠劳务工资近三年！,0,0,2,1
西地省司法警官职业学院新生体能训练有点过度,0,0,2,1
A4区网传班11栋合法门面被强行搬离,0,0,2,1
请A市交通管理部门人性化管理旅游客车包车牌,0,0,2,1
请问西地省这边有哪些市县可以接种HPV九价？,0,0,2,1
投诉A市地金在自城物业公司私自涨物业费,0,0,2,1
A市金地物业同一小区同种服务两种价格,0,0,2,1
西地省电视大学旁延年酒店在屋顶设置的招牌灯光线太强,0,0,2,1
A市河西公办医疗机构太少，商业意外保险报销极为不便,0,0,2,1
A市地铁7号线经C5市路会不会修高架桥？,0,0,2,1
投诉A3区坪塘镇白泉村润泉山庄破产案分配不公,0,0,2,1
夏天到了，请求A市相关部门告知蚊虫防治方法,0,0,2,1
为什么要取消田东心站早上8点到A市的城铁？,0,0,2,1
请求解决A8县大成桥镇清泉社区村民住房问题,0,0,2,1
A2区万芙路清政园小区地下车位外租导致业主没地方停车,0,0,2,1
A市环城绿带节点建设规划实施得怎么样了,0,0,2,1
建议A市修复西地省和平解放条文签定地，打造红色旅游名片,0,0,2,1
西地省齐家尚典装饰装修公司一再承诺完工时间，却再次食言了,0,0,2,1
A7县黄兴镇接驾岭路两边私自加高违建较多,0,0,2,1
A7县星沙天成大酒店地面停车场有碍行人通行,0,0,2,1
再次反映A市兴和社区廉租房漏水导致电路起火的问题,0,0,2,1
A市中航城三期复式楼34层高楼用1.2的栏杆作为生命的屏障，可靠吗？,0,0,2,1
A市后湖小区高分贝的施工，严重影响居民日常生活,0,0,2,1
A2区石碑中学建设从“十一五”规划拖到现在,0,0,2,1
A7县行政执法局榔梨分局公务员以套路贷为由拒不还款,0,0,2,1
A7县黄花收费站出站排队司机经常鸣笛扰民,0,0,2,1
A2区新开铺百姓市场环境卫生差得很,0,0,2,1
A市远鑫尚细时隐瞒垃圾站距离居民区很近,0,0,2,1
B市至A市往返上班的群众呼声,0,0,2,1
A市中小学生流感筛查为何必须自费,0,0,2,1
寻找A7县退伍人员的下落,0,0,2,1
A市广电金鹰九M14县规通知业主收房,0,0,2,1
希望改善A5区道路交通的粗放式管理,0,0,2,1
A市海德公元15栋认筹静悄悄进行,0,0,2,1
A市跳马镇K10县村北冲组领导私自将集体土地第三方单位做卸土区,0,0,2,1
A2区兴马州农家乐饭庄黑心经营问题严重,0,0,2,1
票牛A市分公司不肯退我草莓音乐节的票钱怎么办,0,0,2,1
在A市办的户口迁出证弄丢了，能补办吗,0,0,2,1
A6区红旺市场九九鸭霸王在门前街道上摆设桌椅，很扰民,0,0,2,1
反映C4市收取城市垃圾处理费不平等的问题,0,0,2,1
A市美联嘉园物业私下变卖产权不明的地下车库,0,0,2,1
购买A市“信享汇”商位钱款未退，血本无归,0,0,2,1
西地省有没有可能实行每周“2.5天小长假”的休假模式？,0,1,2,1
友阿奥特莱斯地下车库为何连中型SUV都限高？还不做限高标识,0,0,2,1
A市12315消协工作人员服务态度差,0,0,2,1
A市邮政局单位宿舍拆迁无房无补助,0,0,2,1
A市麓山南路上左家陇西公交站旁的红绿灯损坏，盼及时维修,0,0,2,1
A市银盆岭大桥东引桥需要考虑分流,0,0,2,1
西地省蜂投网打着金融服务中介的名义骗钱,0,0,2,1
中铁25局在A市楚府路高架河西段施工时未保护施工现场，造成事故,0,0,2,1
A7县东方一品小区业主违法圈占公共绿化地，请查处,0,0,2,1
西地省法律工作者是否可以跨县区办案,0,0,2,1
A6区月亮岛街道楚江重建地非法门窗店电锯锯铝材扰民,0,0,2,1
中南林科大强制拆除学生空调回购价格不合理,0,0,2,1
A2区hpv九价疫苗一针难求,0,0,2,1
A市民交契税4年后为什么不能买第二套？,0,0,2,1
A5区党员关于转党组织关系的咨询，急！,0,0,2,1
反映A3区振业城二期车库甲醛严重超标的问题,0,0,2,1
举报西地省建达鸿实业集团公司不合理代扣税,0,0,2,1
A市能否恢复八一路等市区主道的自行车专道,0,0,2,1
A9市烟花企业什么时候复工生产？,0,0,2,1
A2区星语林名园为什么一直是物业收取电费？,0,0,2,1
A3区滨江农贸市场水产区及家禽区的商户秤都缺斤少两,0,0,2,1
A市黎郡新宇康景园租金突然翻倍的涨！,0,0,2,1
A市四方坪商贸城A7到A9栋卖小菜商家每天大早就试用高音喇叭卖菜,0,0,2,1
妻子公派国外访学，我能否申请出国探亲假？,0,1,2,1
A市雨敞坪镇雨敞坪社区妈妈驿站每次取货都要收钱,0,0,2,1
A3区金星路每天车流量非常大，门口斑马线交通事故频发,0,0,2,1
A1区鑫科明珠7栋青年公寓装修材质差,0,0,2,1
为什么我每次自主约考A市青竹湖考场考科三都是第一个考？,0,0,2,1
A市周南梅溪湖中学减少初三学生假期,0,0,2,1
A7县双江镇的田土补助没有给我,0,0,2,1
A市舒适体游泳健身中心没有卫生许可证,0,0,2,1
A4区A4区寺围墙下摆放的报废共享单车影响市容,0,0,2,1
A市高新区荣盛花语馨苑1栋社区办公用房私改经营性场所,0,0,2,1
A市潇楚车管所设卡限制大客车过户是一种懒政，不作为,0,0,2,1
A6区乌山徐家桥碎石场噪音震天，灰尘满天飞,0,0,2,1
寻找A7县退伍人员的下落,0,0,2,1
A市西文庙一带还有两大安全隐患需改善,0,0,2,1
下雪后A市泊爱蓝湾小区和九道湾社区的自来水有刺鼻味！,0,0,2,1
A3区三里垅小区巷子周边开了十几家按摩小店，求整顿,0,0,2,1
A市东风路139号私人工地大量毁绿，拒不整改,0,0,2,1
反映A1区五一中路粮贸大厦高空坠物问题,0,0,2,1
能否请A市交通局客运管理处约束一下出租车晚上鸣笛的行为？,0,0,2,1
A市恒大雅苑小区市政路和消防通道上停满了车,0,0,2,1
A市环保科技园园区振兴工业实体经济扶植奖励未按标准满额发放,0,0,2,1
A7县黄兴镇海吉星家禽批发市场无证经营,0,0,2,1
A市X112线路发车太慢，需等30分钟左右才可以坐到,0,0,2,1
A5区创元时代开发商涉嫌欺诈百姓获取不当收益,0,0,2,1
在A市科佳电脑城买电脑被骗，两千多的电脑卖五千,0,0,2,1
A市公交站上的休息凳子上的泥浆水印无人清理,0,0,2,1
A2区中意电冰箱厂棚改项目什么时候启动征收,0,0,2,1
举报A2区食品药品监督管理局大托铺监管所领导参与赌博,0,0,2,1
A市松桂园周边应建设分流路网,0,0,2,1
对A3区银双路、楚岳路交汇路口交通环境的意见,0,0,2,1
A市青苹果数据城地下室泡水三年了无人处理,0,0,2,1
白咀鹤停车场美聚龙楚公司充电桩项目存在隐患,0,0,2,1
举报A市猎鹰技工学校教育腐败相关问题,0,0,2,1
A市税务局办事程序设拦，退税手续难道就不能委托办理？,0,0,2,1
A市南站检票口请安置座椅,0,0,2,1
反映A2区云峰路水墨林溪苑二期电梯覆盖信号问题,0,0,2,1
咨询A市圣毅园项目的出路,0,0,2,1
A1区东玺门小区内部停车位被改成商用停车场,0,0,2,1
A市一师三附小龙湾小学门口迫切需要搭建人行天桥,0,0,2,1
A5区保利MALL周边交通状况极差，建议增强巡查力度,0,0,2,1
A7县阳光睿智幼儿园违规在屋顶搭建活动板房,0,0,2,1
西地省异地职工探亲休假规定是怎样的,0,0,2,1
A3区应加强景秀路流动活禽销售管理,0,0,2,1
A市融创融公馆7栋一单元103变“菜鸟驿站”,0,0,2,1
请推进A3区高信向日葵小区配套小学的建设,0,0,2,1
A市宇冰燃气公司故意不退钱,0,0,2,1
A3区永青东路环境差，到处是白色垃圾,0,0,2,1
A市火星镇熊孩子引燃“僵尸车”有感,0,0,2,1
A2区麻园塘公交站附近凌晨有渣土车运行还伴随着鸣笛，噪音很大,0,0,2,1
A市英蓝中等职业学校1823班主任随意乱收费,0,0,2,1
A市不动产淘房网一直打不开,0,0,2,1
A8县喻家坳中心幼儿园突然砍掉学生上课时间,0,0,2,1
A1区工商银行靠近A1区广场1号口的分行半夜施工，噪音巨大！,0,0,2,1
A1区新华大厦黑恶贷款中介强行多扣砍头息不退,0,0,2,1
请保护A2区福绿新村业主的合法权益,0,0,2,1
A5区锦绣世家排水不畅，经常厨房主水管堵塞,0,0,2,1
A市金吉鸟健身会所转卡还需要收费？,0,0,2,1
A7县高桥镇百录村柏树组修路收取农民200元/人，却未动工,0,0,2,1
A市融昌电子科技股份有限公司劳动纠纷案何时可以判决？,0,0,2,1
咨询A市车辆牌照更换问题,0,0,2,1
12123上申请驾驶证期满换证，一个星期了都无人受理,0,0,2,1
A3区枫华府邸小区停水7天了！,0,0,2,1
西地省立德安全环保公司辞退员工只赔偿基本工资,0,0,2,1
A市兴汝金城2期外墙大面积脱落，可千万别砸到人,0,0,2,1
A市恒大溪上桃花源楼盘迟迟不退认筹金,0,0,2,1
关于A市初中生寒暑假时间缩短的咨询,0,1,2,1
投诉A市创世纪广场不履行购房合约！,0,0,2,1
A市澳海澜庭内4栋小高层有墙体区域开裂问题,0,0,2,1
请A7县人民法院公正处理楚龙兆远二手车行卖车一案,0,0,2,1
请加强对A市10元快速理发血液传播风险的监督管控,0,0,2,1
A市禹泰云开一品越玺何时交房？,0,0,2,1
老年人到A市落户是否可以享受A市城乡基本养老金？,0,0,2,1
A市阳光医院无故打电话骚扰百姓正常生活,0,0,2,1
咨询婚姻法中规定的三代以内旁系血亲情况鉴定问题,0,0,2,1
A市茂楚企业管理有限公司违法施工，将居民出入道路围堵,0,0,2,1
西地省鑫庆医药有限拖欠员工工资200多万，法定代表人已跑路！,0,0,2,1
A5区圭塘路靠新星小区路口设卡收费,0,0,2,1
A7县政府购买服务向中小学生免费开放体育场所，是否流于形式？,0,0,2,1
A1区五一东村老小区绿化带被用做停车场,0,0,2,1
举报A市黑救护车,0,0,2,1
A4区天健城夜间施工现场没有任何降噪措施,0,0,2,1
请求将A7县杨梅冲社区星邮小区的专电整改为公电,0,0,2,1
A市桔园小区拿铁空间物业不负责,0,0,2,1
请给K3县乡村医生发卫生室执业许可证,0,0,2,1
请修缮A2区步行街市中心的老旧房屋,0,0,2,1
A市西子湖畔沃府开发商挪用购房契税，致使业主产权证办不了,0,0,2,1
A3区沁园春御园公共区域被非法变更,0,0,2,1
A5区东风本田诚通特约销售服务店强硬收取定金不退还,0,0,2,1
A2区政府东门至万芙路段经常有改装车飙车，真的很扰民,0,0,2,1
A市家四水厂乖乖兔电动车商家逃避责任,0,0,2,1
投诉A7县黄花镇兴隆砖厂乱倒垃圾,0,0,2,1
西地省一幼给孩子家长提出无理要求,0,0,2,1
西地省中茂城门面一直无法取得产权凭证,0,0,2,1
A市房产不动产权证未满四年不可以交易合理吗,0,0,2,1
A2区泰华一村小区第四届非法业委会涉嫌侵占小区业主公共资金,0,0,2,1
A市朝阳时代广场开发商挖了好深的地基却不施工，变成了大水坑,0,0,2,1
A7县林美水郡全体业主的公共场所被私人霸占,0,1,2,1
A市克拉美丽山庄二期护坡太高太陡，存在重大安全隐患,0,0,2,1
A市城市出租车协会个体分会会员维权,0,0,2,1
A市红星国际公馆小区商铺前面经常出现的流浪狗存隐患,0,0,2,1
楚雅二医院看个病被踢来踢去的，还能不能好好看病,0,0,2,1
A3区和顺洋湖壹号小区开发商把休闲娱乐区等都铺上了草皮,0,0,2,1
居然在A9市居民区小学旁医院三馆一中心的中间建垃圾站，不可！,0,0,2,1
西地省今年的执业药师继续教育问题不断,0,0,2,1
A1区汇一城小区高层住宅与变电站距离不到15米,0,0,2,1
A8县市世纪花园地下车库尺寸明显不符规范,0,0,2,1
西地省堂源华唯崇医药连锁公司侵吞连锁加盟店的医保款长达3年之久,0,0,2,1
A4区邮政公司劳务工特困补助还没到位,0,0,2,1
A市营盘路279号居民楼后面一年四季粪水横流,0,0,2,1
投诉西地省森沁高科新材料有限公司污染环境,0,0,2,1
A市348路公交车太难等了,0,0,2,1
J4县供销合作社在岗失业职工追缴社保,0,2,2,1
A3区岳北社区B2栋3单元羽婕钢材批发噪音太大,0,0,2,1
A3区八方小区有人开涉黄场所,0,0,2,1
A2区狮子山社区清洁人员没有对开发公司宿舍楼道进行清扫,0,0,2,1
请问A市为什么要禁摩？,0,0,2,1
A3区中加学校的大喇叭太可怕了！,0,0,2,1
请A市人社部门公开公示文明交通劝导员公益性岗位补贴和社保补贴的信息,0,0,2,1
星沙公交X2路车换成中型窄体客车是不合理的,0,0,2,1
A市恒泰楚壹府销售忽悠购房者交5万签下认购合同书,0,0,2,1
A市A1区纬二路上有两种处罚标准？,0,0,2,1
要求依法追究A3区林某果等人共同犯罪的刑事责任,0,0,2,1
A3区望月湖相同的一条街，截然不同的两边,0,0,2,1
A8县月山村村霸操纵基层选举、侵占集体利益等行为盼查,0,0,2,1
12123上申请驾驶证期满换证，一个星期了都无人受理,0,0,2,1
A3区麓山国际梅溪湖校区已经停工很久了，还能开课吗,0,0,2,1
A4区城管纵容圣爵菲斯别墅业主违章建设,0,0,2,1
A5区科融物业威胁业主，呼吁上级加强前期物业的监管,0,1,2,1
A5区赏识培训学校用刚装修的教室给孩子上课,0,0,2,1
A市新老职工房补不公平，请修改房补政策,0,0,2,1
A7县通程广场有公司展销的商品有好多假冒伪劣三无产品,0,0,2,1
A2区长城水郡小区开发商不安装部分窗户，安全隐患多,0,0,2,1
A市昇明壹城房贷利率为何突然上升,0,0,2,1
A7县青山铺镇羊思坡修路补偿款一直没发放,0,0,2,1
西地省高考学生少数民加分名单何时公布？,0,0,2,1
西地省集浩铝业有限公司从事铝合金门窗生产，实在是太吵了,0,0,2,1
投诉A7县春华镇九木村村镇行政执法和农村村镇管理问题,0,0,2,1
举报A8县市梦巷湾酒店皇仕水疗四搂严重涉黄,0,0,2,1
A市大明佳园业主就西地省大明投资公司在销售及拟定合同中涉嫌违法提出质疑,0,0,2,1
请给K3县乡村医生发卫生室执业许可证,0,0,2,1
A市钰龙国际三楼高米早教将三楼的露天平台建设成幼儿运动场,0,0,2,1
A3区云栖路云栖谷小区辅道好多乱停车的,0,0,2,1
A市26路始发站黎郡社区北停车杂乱无章,0,0,2,1
A市育英小学划分重点班,0,0,2,1
A市大学城学生宿舍门口黑摩的揽客阻碍交通,0,0,2,1
A市北二环与A4区大道交界附近有三处超高减速带,0,0,2,1
A市南站里面的12306客服虚设,0,0,2,1
建议A市经开区收回东六路恒天九五工厂地块，打造商业综合体,44,0,1,1
关于A市住房贷款商转公问题的建议,26,0,1,1
A7县星沙凉塘路东七线到东十线段今年会启动建设吗,24,0,1,1
建议A7县将猎豹汽车所出让工业用地转商业用地规划建设大型购物中心,22,1,1,1
建议A市规划局东延地铁7号至泉塘片区，便民出行,21,1,1,1
A市龙吉湾、天凯等小区几万居民强烈要求雅塘冲路二段尽快拉通,16,0,1,1
建议A7县在政府网站公开开慧故里5a级旅游景区总体规划,12,0,1,1
A7县一公安干警利用职务之便查询个人行踪,10,1,1,1
呼吁A市撤销禁摩令,9,1,1,1
A7县妇幼医院连儿童常见病都无法接诊,7,7,1,1
我们基层工作者推广和包支付已经毫无尊严,6,0,1,1
关于请求督促A市有关部门依法依规拆除三楚小区内大量违法建筑的报告,6,0,1,1
A市新华铜联官窑公司销售石渚溪街房产违反明码标价规定,6,1,1,1
西地省家多润超市有限公司成老赖，拒付2亿多货款达2年,6,0,1,1
A7县星沙尚鑫海悦小区1栋二单元一楼105房，违规敲除外墙,5,0,1,1
A6区景城御苑相约本味饭店噪音扰民,5,0,1,1
A市马栏山视频文创产业园路政设施不全，行人被车撞倒,4,0,1,1
A7县泉星公园建设进度和力都大厦长期占用小塘路堆放材料影响百姓出行,4,0,1,1
5年了！A4区清水塘炮队坪后街棚改安置房源何时能入住？,4,1,1,1
建议取消A7县盼盼路（东六路至东四路段）的三条人行道,4,0,1,1
A市利海米兰春天什么时候能出房产证,4,0,1,1
A市“江千锦园”团购户维权,4,0,1,1
A7县果园镇私企辛苦打拼十年，因环保政策被迫停产,4,2,1,1
A4区辰北三角洲C2区业主申请重新选聘物业,4,0,1,1
请调查西地省建望集团及西地省辉K4县建工程有限公司的违法行为,4,0,1,1
A市光曙集团发生大火，竟成东富地产公司逼迁光曙职校的借口,4,0,1,1
A市远鑫玲珑雅苑小区6栋容易积水且有人乱搭建,3,0,1,1
投诉A市轨道3号线保洁服务项目招标,3,3,1,1
望A市可以直接在办新潇楚卡的地方可退旧卡,3,0,1,1
A7县百熙中学外的工地噪音已经让我们无法安心学习了,3,1,1,1
投诉A3区公安局经侦大队、银盆岭派出所包庇芒果金融诈骗罪行,3,0,1,1
A市医学会泄露考生个人信息如此之快,3,0,1,1
咨询A7县田涵大道南延工程建设问题,3,1,1,1
​A市顺宇将公司员工没有得到妥善安排,2,0,1,1
西地省农大教授存在着学术不端行为，却能成为岗位专家,2,0,1,1
A4区长房雍景湾项目无建设工程施工许可证照样盖完了售楼部,2,1,1,1
A市810路公交高峰运力严重不足,2,0,1,1
A7县财政评审投资中心强制使用算王软件,2,0,1,1
